sa2_name16, median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, median_rent_weekly, average_num_psns_per_bedroom, sa2_main16, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
"Jilliby - Yarramalong",1942,42,2200,300,0.8,"102021049",2088,3.0,673
"Lake Munmorah - Mannering Park",978,48,1525,320,0.8,"102021050",1256,2.3,504
"Ourimbah - Fountaindale",1669,38,1800,345,0.8,"102021051",1943,2.8,718
"Summerland Point - Gwandalan",1187,44,1600,340,0.8,"102021052",1365,2.5,543
"The Entrance",988,45,1777,320,0.8,"102021053",1271,2.1,562
"Toukley - Norah Head",968,48,1700,300,0.8,"102021054",1308,2.2,525
"Tuggerah - Kangy Angy",1513,37,1800,380,0.8,"102021055",1730,2.8,662
"Bathurst - East",1476,35,1785,310,0.8,"103011059",1708,2.8,667
"Bathurst Region",1358,45,1686,180,0.8,"103011060",1643,2.6,657
"Oberon",1205,44,1344,210,0.7,"103011061",1485,2.4,608
"Condobolin",1030,41,900,150,0.8,"103021062",1284,2.4,565
"Cowra",941,45,1192,190,0.7,"103021063",1222,2.3,518
"Cowra Region",979,47,1083,165,0.7,"103021064",1261,2.3,519
"Forbes",1070,43,1146,178,0.8,"103021065",1316,2.4,574
"Grenfell",904,50,910,135,0.7,"103021066",1193,2.2,493
"Parkes (NSW)",1135,39,1300,210,0.8,"103021067",1467,2.5,589
"Parkes Region",982,47,999,120,0.8,"103021068",1267,2.4,507
"West Wyalong",1101,43,1000,150,0.7,"103021069",1354,2.4,602
"Lithgow",923,43,1300,233,0.7,"103031070",1257,2.2,496
"Lithgow Region",1126,46,1502,200,0.8,"103031071",1426,2.4,546
"Warnervale - Wadalba",1677,35,2037,450,0.8,"102021056",1801,3.1,624
"Wyong",1055,39,1603,312,0.8,"102021057",1259,2.5,510
"Bathurst",1233,35,1569,275,0.8,"103011058",1591,2.4,622
"Broken Hill",974,45,953,189,0.7,"105021097",1279,2.2,529
"Far West",978,40,650,100,0.8,"105021098",1145,2.5,543
"Coonabarabran",876,49,908,152,0.7,"105031099",1101,2.3,479
"Dubbo - East",1332,36,1517,260,0.8,"105031100",1545,2.6,661
"Narromine",1076,42,1100,184,0.8,"105031105",1360,2.5,588
"Wellington",937,42,1083,180,0.8,"105031106",1209,2.4,492
"Branxton - Greta - Pokolbin",1663,37,1833,320,0.8,"106011107",1924,2.7,720
"Cessnock",1042,38,1478,280,0.8,"106011108",1262,2.5,501
"Cessnock Region",1405,42,1690,270,0.8,"106011109",1640,2.7,582
"Dungog",1225,45,1649,242,0.8,"106011110",1474,2.5,574
"Kurri Kurri - Abermain",1121,37,1430,280,0.8,"106011111",1362,2.6,512
"Singleton",1630,34,1842,290,0.8,"106011112",1960,2.6,704
